species,accuracy,support
Phyllostachys edulis,0.5833,12
Aesculus chinensis,0.6154,13
Berberis anhweiensis,0.6923,13
Cercis chinensis,0.7333,15
Indigofera tinctoria,0.8667,15
Acer palmatum,0.5455,11
Phoebe nanmu,0.5833,12
Kalopanax septemlobus,0.6000,10
Cinnamomum japonicum,0.2727,11
Koelreuteria paniculata,0.7500,12
Ilex macrocarpa,0.5000,10
Pittosporum tobira,0.6154,13
Chimonanthus praecox,0.4000,10
Cinnamomum camphora,0.5385,13
Viburnum awabuki,0.2500,12
Osmanthus fragrans,0.5455,11
Cedrus deodara,0.8750,16
Ginkgo biloba,0.8333,12
Lagerstroemia indica,0.7500,12
Nerium oleander,0.6923,13
Podocarpus macrophyllus,0.8333,12
Prunus serrulata,0.1818,11
Ligustrum lucidum,0.1818,11
Toona sinensis,0.7692,13
Prunus persica,0.4545,11
Manglietia fordiana,0.5000,10
Acer buergerianum,0.6364,11
Mahonia bealei,0.2727,11
Magnolia grandiflora,0.0909,11
Populus x canadensis,0.7692,13
Liriodendron chinense,0.6364,11
Citrus reticulata,0.6364,11
