species,accuracy,support
Phyllostachys edulis,1.0000,12
Aesculus chinensis,1.0000,13
Berberis anhweiensis,1.0000,13
Cercis chinensis,1.0000,15
Indigofera tinctoria,1.0000,15
Acer palmatum,1.0000,11
Phoebe nanmu,1.0000,12
Kalopanax septemlobus,1.0000,10
Cinnamomum japonicum,1.0000,11
Koelreuteria paniculata,1.0000,12
Ilex macrocarpa,0.8000,10
Pittosporum tobira,1.0000,13
Chimonanthus praecox,1.0000,10
Cinnamomum camphora,1.0000,13
Viburnum awabuki,1.0000,12
Osmanthus fragrans,1.0000,11
Cedrus deodara,1.0000,16
Ginkgo biloba,1.0000,12
Lagerstroemia indica,1.0000,12
Nerium oleander,1.0000,13
Podocarpus macrophyllus,0.9167,12
Prunus serrulata,1.0000,11
Ligustrum lucidum,1.0000,11
Toona sinensis,1.0000,13
Prunus persica,0.9091,11
Manglietia fordiana,1.0000,10
Acer buergerianum,1.0000,11
Mahonia bealei,1.0000,11
Magnolia grandiflora,1.0000,11
Populus x canadensis,1.0000,13
Liriodendron chinense,1.0000,11
Citrus reticulata,1.0000,11
